1587950771.7013483,0.92,-0.52,0.19,0.02,-0.04,-0.14,-70.42,-58.72,70.29
1587950771.7112222,0.91,-0.53,0.19,0.02,-0.03,-0.13,-70.38,-58.81,70.26
1587950771.723545,0.91,-0.53,0.19,0.01,-0.02,-0.13,-70.34,-58.89,70.22
1587950771.7352114,0.91,-0.52,0.19,0.01,-0.01,-0.13,-70.29,-58.96,70.2
1587950771.748048,0.92,-0.52,0.19,0.01,-0.0,-0.12,-70.23,-59.04,70.17
1587950771.759668,0.93,-0.53,0.2,0.0,-0.02,-0.12,-70.19,-59.11,70.16
1587950771.7720191,0.93,-0.52,0.19,-0.0,-0.03,-0.12,-70.16,-59.2,70.19
1587950771.783597,0.92,-0.52,0.2,0.0,-0.04,-0.11,-70.13,-59.28,70.24
1587950771.795866,0.92,-0.52,0.19,0.01,-0.03,-0.11,-70.11,-59.35,70.28
1587950771.807502,0.93,-0.52,0.2,0.0,-0.03,-0.11,-70.07,-59.42,70.3
1587950771.81984,0.93,-0.52,0.2,-0.01,-0.03,-0.11,-70.06,-59.49,70.32
1587950771.8314712,0.92,-0.52,0.2,-0.01,-0.04,-0.1,-70.04,-59.55,70.36
1587950771.843704,0.92,-0.52,0.19,-0.0,-0.04,-0.1,-70.03,-59.61,70.4
1587950771.855252,0.92,-0.52,0.2,0.0,-0.04,-0.1,-70.02,-59.67,70.44
1587950771.8681679,0.92,-0.52,0.2,0.01,-0.05,-0.1,-70.02,-59.72,70.47
1587950771.8790798,0.91,-0.52,0.2,0.01,-0.05,-0.1,-70.0,-59.77,70.48
1587950771.8919618,0.91,-0.52,0.2,0.01,-0.03,-0.09,-69.97,-59.81,70.47
1587950771.9035769,0.91,-0.52,0.2,0.01,-0.02,-0.09,-69.93,-59.85,70.44
1587950771.9157567,0.91,-0.52,0.19,0.01,-0.01,-0.09,-69.9,-59.88,70.42
1587950771.9274328,0.92,-0.52,0.2,0.01,-0.01,-0.09,-69.85,-59.91,70.39
1587950771.9397159,0.92,-0.52,0.2,0.0,-0.01,-0.08,-69.82,-59.95,70.38
1587950771.9512517,0.92,-0.52,0.2,0.0,-0.01,-0.08,-69.79,-59.98,70.37
1587950771.9641058,0.91,-0.52,0.2,0.01,-0.01,-0.08,-69.74,-60.0,70.35
1587950771.9757526,0.92,-0.52,0.2,0.01,-0.0,-0.08,-69.69,-60.03,70.31
1587950771.9879317,0.93,-0.52,0.2,0.01,-0.0,-0.08,-69.65,-60.05,70.29
